Title,Rating,Votes,Duration
417. Luther: The Fallen Sun,6.4, (70K),2h 9m
418. Dolores Claiborne,7.4, (51K),2h 12m
419. Breakdown,7.0, (67K),1h 33m
420. 21,6.8, (276K),2h 3m
421. Austin Powers in Goldmember,6.3, (230K),1h 34m
422. Austin Powers: The Spy Who Shagged Me,6.7, (258K),1h 35m
423. Kiss Kiss Bang Bang,7.5, (245K),1h 43m
424. 22 Jump Street,7.0, (427K),1h 52m
"425. The Gangster, the Cop, the Devil",7.0, (30K),1h 49m
426. High Rollers,3.8, (1.4K),1h 41m
428. Ocean's Twelve,6.5, (430K),2h 5m
429. Gone in 60 Seconds,6.5, (305K),1h 58m
430. Butch Cassidy and the Sundance Kid,8.0, (234K),1h 50m
431. Ronin,7.2, (204K),2h 2m
432. Army of the Dead,5.8, (197K),2h 28m
433. Lou,6.1, (37K),1h 47m
434. The Drop,7.0, (167K),1h 46m
435. The Raid: Redemption,7.6, (226K),1h 41m
436. Top Secret!,7.2, (79K),1h 30m
437. M,8.3, (179K),1h 39m
438. Minions,6.4, (276K),1h 31m
440. Teenage Mutant Ninja Turtles: Mutant Mayhem,7.2, (75K),1h 39m
441. Hitman's Wife's Bodyguard,6.1, (116K),1h 40m
442. Heathers,7.1, (124K),1h 43m
443. In the Line of Fire,7.2, (120K),2h 8m
444. Pineapple Express,6.9, (367K),1h 51m
445. K.G.F: Chapter 2,8.2, (161K),2h 46m
446. Pain & Gain,6.4, (237K),2h 9m
447. Absolution,5.2, (9.5K),1h 52m
448. Bad Times at the El Royale,7.1, (175K),2h 21m
449. The Client,6.7, (78K),1h 59m
450. The Girl Who Escaped: The Kara Robinson Story,6.2, (5.9K),1h 28m
451. Boyz n the Hood,7.8, (164K),1h 52m
452. Perfume: The Story of a Murderer,7.5, (274K),2h 27m
453. Jaat,6.0, (11K),2h 38m
454. Crank,6.9, (273K),1h 28m
455. On the Waterfront,8.1, (174K),1h 48m
456. Malignant,6.2, (118K),1h 51m
457. The Hustle,5.5, (70K),1h 33m
458. Panic Room,6.8, (309K),1h 52m
459. Boiler Room,7.0, (59K),2h
460. The Clovehitch Killer,6.5, (39K),1h 49m
461. Birds of Prey and the Fantabulous Emancipation of One Harley Quinn,6.1, (277K),1h 49m
462. Frailty,7.2, (97K),1h 40m
463. The Seed of the Sacred Fig,7.6, (17K),2h 47m
464. Mother,7.7, (78K),2h 9m
465. Murder Mystery 2,5.7, (79K),1h 30m
466. Deliver Us from Evil,6.2, (89K),1h 58m
467. Bound,7.3, (65K),1h 49m
468. Dial M for Murder,8.2, (200K),1h 45m
469. The Call,7.1, (50K),1h 52m
470. Lethal Weapon 2,7.3, (197K),1h 54m
471. Strange Days,7.2, (83K),2h 25m
472. The Two Faces of January,6.2, (35K),1h 36m
473. Spenser Confidential,6.2, (104K),1h 51m
474. Army of Thieves,6.4, (95K),2h 7m
475. The Thomas Crown Affair,6.9, (106K),1h 53m
476. Patriots Day,7.3, (120K),2h 13m
477. The Foreigner,7.0, (129K),1h 53m
478. Bolt,6.8, (241K),1h 36m
479. Dragged Across Concrete,6.9, (60K),2h 39m
480. The Girl on the Train,6.5, (207K),1h 52m
481. Home Alone 2: Lost in New York,6.9, (433K),2h
482. Clear and Present Danger,6.9, (113K),2h 21m
483. The Infiltrator,7.0, (83K),2h 7m
484. The Fate of the Furious,6.6, (267K),2h 16m
485. The Laundromat,6.3, (57K),1h 36m
486. The A-Team,6.7, (274K),1h 57m
487. Boy Kills World,6.4, (37K),1h 51m
488. Serpico,7.7, (143K),2h 10m
